category_name,dis_price,discount_pct,ori_price,ranking,sub_category_name,title
ALL,23070,20,29000,1,All,[휠라](신세계강남점)[[FILA]휠라] 남여공용 크레마 보아 플리스 자켓 (FS2PLC4101X_LBE)S1
ALL,18600,35,28700,2,All,[소문난삼부자김]소문난오부자 재래도시락김5g 72봉 20%중복쿠폰
ALL,19900,50,39900,3,All,[자주]자주공식 온에어 라이브 방송 홈웨어/파자마
ALL,15900,50,31800,4,All,영의정 제주오메기떡 (60gX20개)
ALL,3000,69,9900,5,All,[LG생활건강]페리오 프로폴리스 치약 160G X3개
ALL,12900,50,25800,6,All,[델포유]오븐에 구운 십센치 파운드케이크 5종 5개씩 (총 25개)
ALL,31950,10,35500,7,All,[파스퇴르우유]파스퇴르 무항생제 인증 바른목장(190ml54입)/멸균우유
ALL,6900,50,13900,8,All,장인의 정통 메밀소바 6인분 세트
ALL,16900,30,24200,9,All,고등어 140-160g x 10팩
ALL,17900,48,34900,10,All,[늘바른]내장탕 630g이상총5봉3.15kg/2세트구매시치마살증정
ALL,27930,30,39900,11,All,[자주]자주 여 오가닉코튼 시어서커 사각체크 파자마 5종
ALL,23410,5,24900,12,All,(삼진어묵) 옛날모듬어묵 1Kg x 3개
ALL,20900,0,20900,13,All,곡성 햇 흑찰옥수수 옥수수 20개 15cm 쿠폰가 16720원
ALL,14900,0,14900,14,All,[스파클]스파클생수 2L 30병
ALL,7900,69,26300,15,All,쉬블림로브 균일가 블라우스 셔츠 빅사이즈 롱 원피스
ALL,27930,30,39900,16,All,[자주]남 오가닉코튼 시어서커 사각체크 파자마세트 3종
ALL,19800,34,30000,17,All,[진라면]진라면 매운맛 40봉
ALL,13900,50,27800,18,All,[3M]후레쉬 위생장갑 100+100매 3개세트 총 600매+사은품
ALL,12900,50,25800,19,All,쫀득한 수제 마카롱 선물용 디저트/간식_빵_쿠키 _9개
ALL,19900,50,39800,20,All,1분완성 대만 타피오카 펄 16인분 65g
ALL,21900,8,23900,21,All,[퍼펙트바이오틱스]W프로바이오틱스 여성 질유래유산균 신바이오틱스 5box
ALL,10000,0,10000,22,All,성주참외 가정용 랜덤 4.5kg 실중량 2개구매시 1kg추가
ALL,95000,5,100000,23,All,[구글플레이](카드가능) 기프트코드 10만원 / 구글 기프트카드
ALL,24900,0,24900,24,All,[하림]에어프라이어순살치킨 480g 2봉 + 팝콘치킨 180g
ALL,39000,0,39000,25,All,오토모 핸디형 캡슐 청소기
ALL,29900,40,49900,26,All,[자주]자주 여 오가닉 코튼 스트레치 반팔 세트 8종 택1
ALL,19900,0,19900,27,All,빛 국산 겉절이2kg+총각김치2kg 열무/겉절이/김치 V
ALL,11900,69,39600,28,All,[닥터아토]손소독 티슈 20매 10팩 _O249
ALL,15100,50,30200,29,All,[테크액체세제]수퍼테크 액체세제 일반드럼겸용 대용량 용기 14L
ALL,21700,30,31000,30,All,[동원에프앤비]동원 자연산골뱅이 300g x 5개+랜덤증정
ALL,13900,66,41700,31,All,[블랑슈]블랑슈 프리미엄 더블랙 아기물티슈 캡형 70매 10팩
ALL,20930,30,29900,32,All,[자주]자주 키즈 오가닉코튼 시어서커 사각체크 파자마5종
ALL,29900,40,49900,33,All,[자주]자주 공식 여름정기세일 남녀 파자마 상하세트~47%off
ALL,17400,50,34800,34,All,[다우니]초고농축 다우니 섬유유연제 엑스퍼트 실내건조 1L3개s
ALL,14680,1,14900,35,All,경북 사과 9kg(실중량)  소꼬마(50-65과) 3시간 특가
ALL,29610,0,29900,36,All,리얼세븐 하루건강견과 선물세트 (총 50봉) 시리즈
ALL,19900,50,39900,37,All,[자주]자주 UNI 레이온 5부 파자마 상하 세트 4종(남녀공용)
ALL,13900,52,29000,38,All,[자주]자주 공식 편안한 홈웨어 티셔츠/팬츠/원피스
ALL,18900,46,35000,39,All,[르샤트라1802]르샤트라 고농축 섬유유연제 1.6Lx5개 (피1라2뮤2)
ALL,32100,1,32700,40,All,[햇반](빠른배송) CJ 햇반 190g 36개
ALL,21900,26,29900,41,All,미식여행 텍사스바베큐폭립 530g 3팩
e쿠폰/티켓,47000,6,50000,1,All,[컬쳐랜드문화상품권](카드가능)(컬쳐랜드) 문화상품권 5만원 /온라인 전용
도서/음반,164000,40,275000,1,All,제이와이북스 노부영 베이비 베스트 (7/15 예약발송)
컴퓨터/전자,46900,0,46900,1,All,[테팔](최종35180원) 블렌드포스 플러스 믹서기_BL4258
스포츠/자동차,23070,20,29000,1,All,[휠라](신세계강남점)[[FILA]휠라] 남여공용 크레마 보아 플리스 자켓 (FS2PLC4101X_LBE)S1
가구/침구,11900,69,39000,1,All,1+1 시원한 시어서커 홑이불(SS) 냉장고이불 여름이불
화장품/헤어,3000,69,9900,1,All,[LG생활건강]페리오 프로폴리스 치약 160G X3개
생활/주방/건강,12900,0,12900,1,All,일체형양념통1+1+1+1
여행,122000,0,122000,1,All,롯데월드 자유이용권 3매(종일) + 서울시내호텔 1박
신발/잡화,9900,0,9900,1,All,1+1 여성 썬캡 밀짚 모자 라탄 버킷 햇 벙거지
유아동/출산,30400,25,40900,1,All,[베베숲]아기물티슈 프리미어 캡70매 20팩
식품,11900,0,11900,1,All,참닭 춘천 닭갈비 700g+700g/찜닭/갈비/양념육
ALL,47500,5,50000,42,All,[구글플레이](카드가능) 기프트코드 5만원 / 구글 기프트카드
ALL,45000,10,50000,43,All,[에그머니](카드가능)(에그머니) 온라인 게임상품권 5만원
ALL,9900,70,33000,44,All,요즘에/썸머신상+10%/청바지/슬랙스/린넨/반바지/3XL~
ALL,18900,27,25900,45,All,[상하목장]매일 상하목장 얼려먹는 아이스주스(망고)24입
