category_name,dis_price,discount_pct,ori_price,ranking,sub_category_name,title
ALL,29000,50,59000,1,All,[헤지스]20SS 아이보리 포켓배색 면 반팔티셔츠 WHTS0B129IV
ALL,12900,50,25800,2,All,[스파클]스파클생수 2L 30병
ALL,9900,66,29700,3,All,[블랑슈]블랑슈 센시티브 아기물티슈 캡형 100매 10팩
ALL,27500,58,66000,4,All,[크리넥스]클린케어 3겹 25M 30롤X2팩/화장지/휴지 +본품증정
ALL,81000,19,100000,5,All,[머지포인트](머지포인트) 10만원권
ALL,29000,50,59000,6,All,[헤지스]20SS 블랙 포켓배색 면 반팔티셔츠 WHTS0B129BK
ALL,10500,70,35000,7,All,[아디다스]나이키 아디다스外 인기 반팔티 반바지 단체복 모음
ALL,31900,0,31900,8,All,[파스퇴르우유]파스퇴르 무항생제 바른목장우유 250mL 36입
ALL,45000,10,50000,9,All,[에그머니](카드가능)(에그머니) 온라인 게임상품권 5만원
ALL,8500,69,28300,10,All,쉬블림로브 20%쿠폰 6800원 균일가 블라우스 원피스
e쿠폰/티켓,46500,7,50000,1,All,[컬쳐랜드문화상품권](스마일클럽) 컬쳐랜드 온라인 문화상품권 5만원
여행,99000,0,99000,1,All,최종혜택가 84600원~(모바일문자수신) 웰리힐리파크 써머 스마일PKG (객실 1박 + 워터파크 + 관광곤돌라)
도서/음반,162800,34,248000,1,All,수퍼맘스토리카페/높은성취도 요구에 부응하는 미국교과서/원더스고레벨/Wonders/G3/G4/G5/번역본제공
컴퓨터/전자,34900,0,34900,1,All,[대우]대우 에어 써큘레이터DEF-KC1020스탠드선풍기 공기순환
가구/침구,9900,69,32000,1,All,[아이르]국내산 시원한 시어서커 봄 여름 홑겹이불 침구
스포츠/자동차,10500,70,35000,1,All,[아디다스]나이키 아디다스外 인기 반팔티 반바지 단체복 모음
생활/주방/건강,11900,33,17900,1,All,[홈스타]홈스타 뿌리는 곰팡이싹 500mlX4 +1L증정
식품,12900,50,25800,1,All,[스파클]스파클생수 2L 30병
ALL,16800,41,28560,11,All,[사조해표]해표 포도씨유 (식용유/기름) 900ml x3병
